LOGPcons,MACCSFP125,PCR,Psi_e_A,P_VSA_ppp_D,Mp,SpMin1_Bh(p),SHED_AL,SM12_AEA(ri),P_VSA_s_3,MATS5m,Actividad
3.2148,0,1.133,7.7101,42.6833,0.6469,2.124,8.7365,3.8085,37.501,0.0661,Act1
3.242,0,1.1817,7.4954,75.5805,0.6301,2.1384,6.7432,3.236,21.5783,-0.0463,Act1
1.9871,1,1.3155,7.8447,34.6738,0.6752,2.0238,5.7248,3.7912,39.7079,0.2059,Act1
4.5612,1,1.3233,8.93,36.0215,0.6462,2.0418,5.7649,3.5493,11.9546,-0.0745,Act1
3.0872,1,1.3994,8.572,68.9187,0.7257,1.9855,12.4805,4.0528,60.5743,-0.0298,Act1
2.2297,1,1.5104,7.8922,0.0,0.6684,2.0976,9.8377,4.0833,44.6106,0.0473,Act1
2.969,1,1.2987,8.1929,93.5913,0.6243,2.0395,14.4499,3.8038,50.6105,-0.0405,Act1
3.5297,0,1.0077,7.7083,85.3667,0.6069,2.156,10.5525,3.5486,32.06,0.0131,Act1
4.178,0,1.0078,7.6726,128.05,0.6036,2.1559,10.4818,3.53,26.2552,0.0141,Act1
3.1324,0,1.0326,7.9368,42.6833,0.6225,2.1484,10.1965,3.6026,39.1211,0.063,Act-1
3.2051,0,1.0075,7.7989,170.7334,0.6015,2.1556,10.1965,3.555,23.7207,0.0268,Act1
3.588,0,1.1904,8.4042,0.0,0.6286,2.0328,5.5249,3.4622,22.8908,-0.1244,Act-1
3.5875,1,1.5005,7.7599,95.2453,0.656,2.0749,15.3468,3.9117,42.2368,-0.0286,Act-1
0.6723,0,1.0457,8.3016,42.6833,0.6326,1.9081,4.7568,2.8857,13.689,-0.1781,Act-1
0.3333,0,1.2378,8.3974,160.9472,0.613,2.0164,3.8982,3.0523,3.1856,0.0147,Act-1
0.7005,0,1.2437,8.1667,118.2639,0.6193,2.0161,4.1542,2.8108,3.1856,-0.0849,Act1
1.8902,1,1.294,8.4167,111.602,0.6508,2.0932,12.8304,3.9048,60.8109,0.062,Act1
1.3869,0,1.161,8.2067,103.3774,0.6257,2.0248,10.7758,3.3958,21.9538,-0.1288,Act-1
2.5179,1,1.3475,8.0303,50.9079,0.6515,2.0326,9.5868,3.6177,32.1383,0.1443,Act-1
2.3704,1,1.3122,7.9206,146.0608,0.6425,2.0359,9.7175,3.6141,11.0114,0.0657,Act1
-1.899,0,1.1314,8.3039,172.2961,0.6,2.0577,2.8284,2.8957,13.7941,-0.1182,Act-1
-0.6974,0,1.208,8.4632,267.449,0.7548,1.987,7.4905,3.425,28.2208,-0.0479,Act-1
4.1325,1,1.4087,7.8407,50.9079,0.6875,2.0403,7.4558,4.0655,42.5308,-0.087,Act-1
1.2937,1,1.5369,8.1253,636.7138,0.6518,2.103,15.908,4.1615,114.661,0.0713,Act1
-0.7843,0,1.1733,8.7024,132.6874,0.6562,2.0673,9.6058,3.9507,47.6111,-0.0005,Act-1
3.9531,0,1.1384,7.7645,0.0,0.6512,2.1116,7.3723,3.4837,61.7047,0.0529,Act1
4.0595,1,1.2266,7.7903,16.405,0.6784,2.0937,11.3082,4.0677,54.7738,-0.1291,Act1
3.4213,1,1.2822,7.677,36.0215,0.6589,2.0179,10.0752,3.4637,29.3225,0.1164,Act1
-0.7843,0,1.1733,8.7024,132.6874,0.6562,2.0673,9.6058,3.9507,47.6111,-0.0005,Act-1
0.8978,1,1.3147,8.0804,139.3989,0.6401,2.0757,14.4302,3.7025,58.584,0.002,Act1
3.5858,0,1.2026,7.8333,103.3774,0.6366,2.0738,9.232,3.4532,25.8707,-0.029,Act1
1.8955,0,1.2893,8.0714,111.602,0.6221,2.0472,11.557,3.4603,43.9791,-0.0439,Act1
1.3763,0,1.2789,8.0114,111.602,0.6131,2.0497,11.1914,3.4602,46.0848,-0.0264,Act1
4.554,0,1.055,7.4357,34.4157,0.6209,2.1232,13.3262,3.8102,33.8222,-0.023,Act1
1.8749,0,1.1045,8.1691,128.05,0.6262,2.145,12.9247,3.9265,41.3533,0.0204,Act-1
2.0106,0,1.1018,8.0337,128.05,0.6413,2.1285,8.1731,4.0114,23.5907,-0.0937,Act1
1.6676,0,1.1111,8.0278,85.3667,0.6351,2.1358,8.1417,3.9151,28.7241,-0.0885,Act1
3.5681,0,1.1705,8.0741,85.3667,0.6465,2.1409,9.6574,4.0399,33.9676,-0.1044,Act-1
-0.73,0,1.259,8.4245,246.3139,0.6433,2.1498,8.5426,4.1257,27.7139,-0.1305,Act-1
3.9668,1,1.3839,7.5833,85.5817,0.6382,2.1022,11.4456,3.9647,41.7664,0.0625,Act1
0.1983,0,1.0349,7.847,384.1501,0.5988,2.1507,17.3931,3.6937,28.1021,0.0161,Act-1
-0.2445,0,1.2994,8.1578,288.9972,0.6109,2.0513,13.6071,3.1965,20.7739,-0.1339,Act-1
2.8725,0,1.1513,7.819,103.3774,0.6254,2.0322,11.1474,3.7108,60.6604,0.0596,Act-1
3.9865,1,1.2311,7.47,42.6833,0.6386,2.0788,7.1889,3.2977,20.7207,-0.0271,Act-1
1.8765,0,1.199,8.1528,49.1797,0.6604,2.0592,6.678,3.55,20.5452,0.1068,Act-1
3.2761,0,1.2648,8.0435,128.05,0.6257,2.0338,7.5637,3.0275,28.7697,-0.1338,Act1
4.1018,1,1.3828,8.0833,18.0108,0.6717,1.9999,8.1342,3.8898,40.0195,-0.0357,Act1
3.8606,1,1.3799,7.8951,18.0108,0.6731,1.9982,8.0352,3.6342,30.8985,-0.0663,Act1
2.6714,1,1.4749,7.7011,0.0,0.679,2.0262,10.7738,3.9799,26.9234,-0.1854,Act1
