LOGPcons,MACCSFP125,PCR,Psi_e_A,P_VSA_ppp_D,Mp,SpMin1_Bh(p),SHED_AL,SM12_AEA(ri),P_VSA_s_3,MATS5m,Actividad
3.3187,1,1.3274,7.9705,18.0108,0.6861,2.1064,11.3947,3.9425,37.0804,0.1056,Act1
3.8875,1,1.5537,8.1111,18.0108,0.7054,2.0548,8.8349,3.9456,38.8746,-0.0935,Act1
3.8684,1,1.2904,8.0188,18.0108,0.7354,2.0299,9.3727,3.5436,54.3336,0.0833,Act1
2.946,1,1.3129,7.8472,0.0,0.6716,2.0423,8.9161,3.9415,50.6151,0.0603,Act-1
3.5433,1,1.3996,7.6827,18.0108,0.6639,1.9932,9.4412,3.7726,55.4946,-0.0198,Act1
3.5722,1,1.2868,7.72,0.0,0.6609,2.099,8.2244,3.7564,17.2024,-0.059,Act1
4.2291,1,1.2722,7.75,60.6941,0.6717,2.099,12.0017,3.7571,41.6497,0.0516,Act-1
2.6593,1,1.2857,7.9983,78.7048,0.6531,2.0737,14.527,3.7571,42.9789,0.032,Act-1
4.6841,1,1.4139,7.7892,36.0215,0.7018,2.0398,11.7777,3.8204,74.2145,-0.1577,Act1
4.7118,1,1.3154,7.8418,0.0,0.7182,2.0508,9.8772,3.8768,75.1021,0.1113,Act1
4.5232,1,1.3164,7.8556,0.0,0.7071,2.054,10.064,4.0298,80.3455,0.0803,Act1
4.2322,1,1.5745,7.8137,34.6738,0.6995,2.1446,10.7063,4.0394,72.9232,0.084,Act1
4.9284,1,1.5644,7.7778,34.6738,0.6886,2.1451,10.8754,4.0394,74.558,0.038,Act1
5.0525,1,1.5737,7.6111,18.0108,0.7184,2.068,6.9376,3.8209,21.3504,0.0372,Act1
3.4415,1,1.5163,7.6197,18.0108,0.6924,2.0581,11.1091,3.8862,22.8051,0.0078,Act1
4.9385,1,1.4254,7.7097,66.3457,0.6907,2.0402,9.3863,3.8611,63.5343,0.0042,Act1
2.481,1,1.2872,8.0221,18.0108,0.6555,2.0342,12.3366,3.9334,50.7169,0.0376,Act1
3.1843,1,1.3121,7.7366,0.0,0.6564,2.0557,9.164,3.8262,49.649,0.0655,Act1
3.9307,1,1.3082,7.9453,18.0108,0.6736,2.0741,11.0428,3.7994,30.7326,0.0688,Act1
2.7935,1,1.3979,7.7654,50.9079,0.7204,2.1346,9.9481,3.7944,63.7237,0.0965,Act1
2.4768,1,1.2861,7.7429,0.0,0.6523,2.0564,10.8729,3.9415,63.6963,0.0461,Act1
3.8437,1,1.4128,8.0086,16.405,0.6684,2.059,9.0169,4.6204,42.4473,-0.1187,Act-1
4.3137,1,1.2184,7.79,96.7156,0.6591,2.0528,15.6495,3.4823,104.0159,0.0117,Act1
2.4133,0,1.2225,7.8574,32.8972,0.6775,2.0682,4.5032,3.2422,21.9578,-0.1354,Act1
3.5875,1,1.5005,7.7599,95.2453,0.656,2.0749,15.3468,3.9117,42.2368,-0.0286,Act-1
4.1396,1,1.385,7.4541,0.0,0.7223,2.0406,7.0986,3.7317,55.5147,0.2052,Act1
4.0814,1,1.4291,7.6026,0.0,0.6549,2.0658,11.4052,3.5783,33.0257,0.0841,Act1
6.8111,1,1.5173,7.5072,18.0108,0.6799,2.1306,10.9364,3.8205,31.8036,0.0598,Act1
3.9807,1,1.4616,7.6379,0.0,0.646,2.1426,8.264,4.1017,51.0825,-0.1493,Act1
5.1307,0,1.4309,7.6543,60.6941,0.6191,1.9563,15.9863,2.5332,27.0866,0.0233,Act1
3.2525,0,1.1932,7.4977,60.6941,0.6398,2.023,7.5423,3.0743,33.7405,-0.0035,Act1
3.5512,1,1.3262,7.5234,0.0,0.6769,2.057,6.4142,3.4261,14.0832,0.0739,Act1
2.2891,0,1.1002,8.0645,0.0,0.6321,2.1532,7.8929,3.5972,40.0312,-0.1384,Act1
4.3099,1,1.3988,7.85,85.3667,0.6779,2.0725,7.9587,3.7249,17.8114,-0.0295,Act1
6.0115,1,1.3721,7.7444,17.8882,0.7189,2.0239,7.9307,3.8519,41.6629,0.0061,Act1
2.7412,1,1.3829,7.9195,52.807,0.643,1.9707,10.6988,4.1111,47.9657,0.048,Act1
4.9104,0,1.1543,7.1914,0.0,0.618,2.1046,11.0771,2.8702,47.4884,-0.0531,Act1
5.4216,1,1.6066,7.934,36.0215,0.7033,2.1278,15.3275,4.4234,54.6391,-0.0847,Act1
