--- REPORTE DE DIAGNÓSTICO DE CONSENSO (J48 + IBk) ---
------------------------------------------------------------
Atributo (o Índice)                      | Frecuencia     
Índice Fuera de Rango: 670               | 1              
Índice Fuera de Rango: 672               | 1              
Índice Fuera de Rango: 673               | 1              
Índice Fuera de Rango: 675               | 1              
Índice Fuera de Rango: 678               | 1              
Índice Fuera de Rango: 679               | 1              
Índice Fuera de Rango: 680               | 1              
Índice Fuera de Rango: 685               | 1              
Índice Fuera de Rango: 692               | 1              
Índice Fuera de Rango: 694               | 1              
Índice Fuera de Rango: 695               | 1              
Índice Fuera de Rango: 697               | 1              
Índice Fuera de Rango: 698               | 1              
Índice Fuera de Rango: 699               | 1              
Índice Fuera de Rango: 701               | 1              
Índice Fuera de Rango: 702               | 1              
Índice Fuera de Rango: 704               | 1              
Índice Fuera de Rango: 705               | 1              
Índice Fuera de Rango: 709               | 1              
Índice Fuera de Rango: 712               | 1              
Índice Fuera de Rango: 713               | 1              
Índice Fuera de Rango: 714               | 1              
Índice Fuera de Rango: 716               | 1              
Índice Fuera de Rango: 717               | 1              
Índice Fuera de Rango: 718               | 1              
Índice Fuera de Rango: 719               | 1              
Índice Fuera de Rango: 720               | 1              
Índice Fuera de Rango: 721               | 1              
Índice Fuera de Rango: 722               | 1              
Índice Fuera de Rango: 723               | 1              
Índice Fuera de Rango: 724               | 1              
Índice Fuera de Rango: 726               | 1              
Índice Fuera de Rango: 732               | 1              
Índice Fuera de Rango: 736               | 1              
Índice Fuera de Rango: 738               | 1              
Índice Fuera de Rango: 739               | 1              
Índice Fuera de Rango: 740               | 1              
Índice Fuera de Rango: 741               | 1              
Índice Fuera de Rango: 742               | 1              
Índice Fuera de Rango: 747               | 1              
Índice Fuera de Rango: 753               | 1              
Índice Fuera de Rango: 758               | 1              
Índice Fuera de Rango: 759               | 1              
Índice Fuera de Rango: 763               | 1              
Índice Fuera de Rango: 769               | 1              
Índice Fuera de Rango: 770               | 1              
Índice Fuera de Rango: 771               | 1              
Índice Fuera de Rango: 782               | 1              
Índice Fuera de Rango: 12                | 1              
Índice Fuera de Rango: 16                | 1              
Índice Fuera de Rango: 98                | 1              
Índice Fuera de Rango: 113               | 1              
Índice Fuera de Rango: 123               | 1              
Índice Fuera de Rango: 130               | 1              
Índice Fuera de Rango: 138               | 1              
Índice Fuera de Rango: 216               | 1              
Índice Fuera de Rango: 217               | 1              
Índice Fuera de Rango: 218               | 1              
Índice Fuera de Rango: 244               | 1              
Índice Fuera de Rango: 346               | 1              
Índice Fuera de Rango: 353               | 1              
Índice Fuera de Rango: 354               | 1              
Índice Fuera de Rango: 397               | 1              
Índice Fuera de Rango: 399               | 1              
Índice Fuera de Rango: 422               | 1              
Índice Fuera de Rango: 498               | 1              
Índice Fuera de Rango: 578               | 1              
Índice Fuera de Rango: 603               | 1              
Índice Fuera de Rango: 625               | 1              
Índice Fuera de Rango: 626               | 1              
Índice Fuera de Rango: 633               | 1              
Índice Fuera de Rango: 646               | 1              
Índice Fuera de Rango: 648               | 1              
Índice Fuera de Rango: 762               | 1              
Índice Fuera de Rango: 168               | 1              
Índice Fuera de Rango: 594               | 1              
Índice Fuera de Rango: 65                | 1              
Índice Fuera de Rango: 489               | 1              
------------------------------------------------------------
