@relation J48_training-comb.arff-weka.filters.unsupervised.attribute.Remove-R25

@attribute Psi_e_A numeric
@attribute PCR numeric
@attribute GATS8i numeric
@attribute nRCOOH numeric
@attribute nImidazoles numeric
@attribute SaaCH numeric
@attribute CATS2D_07_AP numeric
@attribute SHED_LL numeric
@attribute B05[N-O] numeric
@attribute B06[C-C] numeric
@attribute B07[C-O] numeric
@attribute B08[C-C] numeric
@attribute F03[N-S] numeric
@attribute F09[N-N] numeric
@attribute F09[N-N] numeric
@attribute MACCSFP8 numeric
@attribute MACCSFP37 numeric
@attribute MACCSFP38 numeric
@attribute MACCSFP48 numeric
@attribute MACCSFP49 numeric
@attribute MACCSFP62 numeric
@attribute MACCSFP80 numeric
@attribute MACCSFP84 numeric
@attribute MACCSFP125 numeric
@attribute Actividad {Act1,Act-1}

@data
7.5714,1.0722,0.7594,0,0,0,0,6.0649,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Act1
7.4846,1.0572,0.9242,0,0,0,0,7.1497,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Act1
8.473,1.1702,1.0278,0,0,1.1273,0,10.8116,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,Act-1
7.7101,1.133,1.0398,0,0,0,0,6.5435,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Act1
7.4954,1.1817,0.5805,0,0,5.8704,0,5.6521,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,Act1
7.8447,1.3155,1.224,0,0,2.7675,0,6.4216,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,Act1
8.93,1.3233,0.9737,0,0,4.308,0,6.3053,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,1,Act1
8.572,1.3994,1.0614,0,0,3.721,0,11.3679,1,1,1,1,2,1,1,0,0,1,0,0,0,1,1,1,Act1
7.8922,1.5104,1.0265,0,0,9.8185,0,8.2342,1,1,1,1,0,0,0,0,0,1,0,0,1,1,0,1,Act1
8.1929,1.2987,0.8361,0,0,10.1892,0,13.1053,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,Act1
7.7083,1.0077,0.8177,0,0,0,0,8.2816,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,Act1
7.6726,1.0078,0.8606,1,0,0,0,8.2289,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Act1
7.9368,1.0326,0.8701,1,0,0,0,8.4229,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Act-1
7.7989,1.0075,0.8402,1,0,0,0,8.4229,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Act1
8.4042,1.1904,1.359,0,0,4.4751,0,8.391,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Act-1
7.7599,1.5005,0.9008,0,0,23.9169,0,15.4966,1,1,1,1,0,2,2,0,0,1,0,0,1,1,0,1,Act-1
8.3016,1.0457,0.2923,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Act-1
8.3974,1.2378,0.1636,0,0,4.1277,1,4.7451,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,Act-1
